machine_id,brand,power_hp,production_year,age_at_event,hours_at_event,failure_time,event_flag,failure_system,major_failure_flag,repair_cost,downtime_hours,peak_load_proxy,weather_instrument,climate,soil,region,campaign
M_1026,MTZ82,73.1,2022,3.44,481.0,558.2,1,трансмиссия,1,163543.22,7.0,0.7461,36.78,0.3048,0.8444,north_caucasus,sowing
M_1027,MTZ82,111.3,2018,7.3,453.6,531.1,1,электроника,1,36034.01,101.2,0.9046,58.22,0.6756,0.4271,vladimir,harvest
M_1028,MTZ82,99.1,2022,3.24,963.7,1135.7,0,прочее,0,0.0,0.0,0.7056,22.32,0.2054,0.2073,vladimir,sowing
M_1029,MTZ82,78.8,2018,7.18,324.0,377.6,1,двигатель,1,120225.29,36.4,0.9984,46.06,0.6343,0.7516,vladimir,harvest
M_1030,MTZ82,92.6,2024,1.64,419.2,574.1,0,прочее,0,0.0,0.0,0.6598,32.41,0.5921,0.7512,northwest,sowing
M_1031,MTZ82,95.0,2018,7.75,395.3,432.3,1,гидравлика,0,38472.58,11.1,1.0,43.68,0.6743,0.5047,kuban,sowing
M_1032,MTZ82,96.7,2021,4.19,1125.5,1465.9,0,прочее,0,0.0,0.0,0.7961,34.72,0.4925,0.591,northwest,sowing
M_1033,MTZ82,116.7,2017,8.85,249.4,266.6,1,двигатель,1,65677.46,94.9,1.0,54.0,0.4538,0.1817,kuban,harvest
M_1034,MTZ82,81.5,2024,1.33,17.1,19.7,1,электроника,1,14721.81,73.8,0.5515,48.12,0.6994,0.4601,northwest,harvest
M_1035,MTZ82,73.9,2018,7.19,212.5,263.3,1,электроника,0,107324.97,9.1,0.8156,49.86,0.5161,0.5928,vladimir,sowing
M_1036,MTZ82,51.3,2022,3.39,1041.4,1187.0,0,прочее,0,0.0,0.0,0.6494,38.39,0.6901,0.7536,amur,sowing
M_1037,MTZ82,127.0,2017,8.32,837.2,1033.5,1,двигатель,1,190884.53,55.4,1.0,38.56,0.2705,0.2143,northwest,sowing
M_1038,MTZ82,50.0,2020,5.24,416.4,492.8,1,прочее,0,15569.44,16.7,0.8622,40.44,0.6249,0.381,amur,sowing
M_1039,MTZ82,80.4,2018,7.3,2170.5,2417.2,1,гидравлика,0,35835.45,1.4,1.0,46.51,0.9822,0.45,northwest,harvest
M_1040,MTZ82,111.0,2021,4.08,1084.8,1426.6,0,прочее,0,0.0,0.0,0.707,52.43,0.8537,0.707,central_chernozem,sowing
M_1041,MTZ82,69.6,2018,7.24,1059.7,1267.0,1,электроника,0,44259.99,0.7,0.93,30.87,0.6983,0.21,vladimir,sowing
M_1042,MTZ82,57.6,2024,1.25,356.1,437.6,0,прочее,0,0.0,0.0,0.3476,45.62,0.3456,0.3606,north_caucasus,harvest
M_1043,MTZ82,131.0,2021,4.64,989.6,1073.4,1,электроника,0,71214.4,53.5,1.0,54.62,0.5911,0.8515,north_caucasus,sowing
M_1044,MTZ82,95.1,2022,3.54,902.2,1238.0,0,прочее,0,0.0,0.0,0.8839,52.68,0.6699,0.7055,altai,harvest
M_1045,MTZ82,85.9,2017,8.04,1182.5,1464.2,1,гидравлика,0,114206.72,25.4,0.9142,61.84,0.729,0.6074,central_chernozem,harvest
M_1046,MTZ82,87.4,2020,5.54,940.3,1071.9,1,электроника,1,35173.47,484.9,0.7367,33.63,0.8073,0.3162,vladimir,sowing
M_1047,MTZ82,50.0,2023,2.7,157.8,184.2,1,электроника,0,72099.2,4.1,0.4545,67.46,0.87,0.1312,central_chernozem,harvest
M_1048,MTZ82,92.6,2017,8.1,458.4,516.7,1,электроника,0,14585.79,11.7,1.0,55.0,0.4064,0.4318,central_chernozem,sowing
M_1049,MTZ82,91.7,2018,7.03,1507.6,1821.0,1,электроника,0,33581.57,47.9,0.8958,53.07,0.8462,0.8241,central_chernozem,harvest
M_1050,MTZ82,67.8,2017,8.88,2424.5,2954.3,1,электроника,0,31578.42,16.6,0.9255,34.8,0.5977,0.4961,vladimir,sowing
M_1051,MTZ82,121.8,2018,7.18,2171.4,2323.8,1,электроника,0,11714.16,16.1,0.9672,41.06,0.3622,0.1845,altai,sowing
M_1052,MTZ82,72.7,2023,2.29,283.5,323.0,1,гидравлика,0,96013.55,9.1,0.6587,34.64,0.6939,0.2922,northwest,sowing
M_1053,MTZ82,94.2,2024,1.95,532.0,611.6,1,электроника,0,92079.98,72.2,0.7424,35.4,0.6234,0.0881,vladimir,sowing
M_1054,MTZ82,98.2,2018,7.01,69.3,80.0,1,двигатель,1,260596.93,195.2,1.0,43.72,0.5721,0.4594,northwest,harvest
M_1055,MTZ82,61.7,2019,6.28,49.3,57.9,1,гидравлика,0,71572.05,18.6,0.9096,57.63,0.9287,0.2599,kuban,sowing
M_1056,MTZ82,92.4,2019,6.76,859.2,957.8,1,электроника,0,17790.69,46.0,0.9617,43.93,0.673,0.3069,central_chernozem,sowing
M_1057,MTZ82,91.0,2019,6.34,1679.9,2220.0,0,прочее,0,0.0,0.0,0.8917,46.53,0.9858,0.2728,northwest,harvest
M_1058,MTZ82,99.7,2019,6.48,135.8,152.4,1,двигатель,0,80620.87,20.3,0.8903,42.45,0.5643,0.6141,northwest,sowing
M_1059,MTZ82,92.2,2018,7.12,641.4,767.2,1,электроника,0,28861.81,36.2,1.0,66.54,0.6993,0.4587,kuban,harvest
M_1060,MTZ82,67.7,2018,7.19,1.3,1.6,1,трансмиссия,1,89072.2,36.2,0.9101,48.8,0.833,0.5191,vladimir,sowing
M_1061,MTZ82,105.9,2020,5.01,8.7,9.2,1,трансмиссия,0,230275.01,25.6,0.8745,67.63,0.491,0.4614,volga,harvest
M_1062,MTZ82,119.7,2022,3.57,810.1,867.4,1,электроника,0,28559.06,37.3,0.7577,36.63,0.7301,0.6516,northwest,sowing
M_1063,MTZ82,50.0,2023,2.17,657.6,761.2,0,прочее,0,0.0,0.0,0.5231,43.68,0.7946,0.8782,volga,sowing
M_1064,MTZ82,90.3,2023,2.67,686.3,933.5,0,прочее,0,0.0,0.0,0.7595,57.74,0.6223,0.5582,north_caucasus,sowing
M_1065,MTZ82,61.6,2018,7.98,413.5,490.3,1,гидравлика,0,40991.2,47.0,0.8535,36.12,0.2046,0.7576,northwest,harvest
M_1066,MTZ82,97.3,2021,4.08,1205.3,1362.5,1,двигатель,1,399765.29,7.8,0.8271,54.56,0.715,0.3285,altai,harvest
M_1067,MTZ82,71.5,2023,2.56,665.3,897.4,0,прочее,0,0.0,0.0,0.8091,48.36,0.777,0.2261,volga,sowing
M_1068,MTZ82,86.3,2023,2.64,667.4,925.1,0,прочее,0,0.0,0.0,0.6127,27.0,0.4289,0.6736,volga,sowing
M_1069,MTZ82,78.5,2022,3.59,214.1,259.3,1,гидравлика,0,101167.84,7.5,0.7851,31.78,0.8203,0.32,amur,harvest
M_1070,MTZ82,81.8,2019,6.07,998.1,1175.1,1,трансмиссия,1,95958.22,24.7,0.7048,48.13,0.6862,0.3292,northwest,sowing
M_1071,MTZ82,87.7,2018,7.04,77.0,86.6,1,электроника,0,10958.84,48.4,0.8755,67.3,0.7583,0.2347,volga,harvest
M_1072,MTZ82,91.2,2021,4.73,1206.7,1294.9,1,электроника,0,10580.33,9.7,0.8414,44.84,0.7543,0.7781,vladimir,sowing
M_1073,MTZ82,105.1,2018,7.49,17.4,19.5,1,гидравлика,0,41021.25,30.4,0.9954,20.0,0.4275,0.2674,vladimir,sowing
M_1074,MTZ82,89.6,2019,6.35,1760.1,2221.3,0,прочее,0,0.0,0.0,0.7605,34.04,0.9582,0.5205,vladimir,harvest
M_1075,MTZ82,103.2,2024,1.65,443.4,513.0,1,двигатель,0,215200.01,6.8,0.9177,53.01,0.2016,0.3066,north_caucasus,sowing
M_1076,MTZ82,99.3,2018,7.68,84.9,95.9,1,трансмиссия,0,118550.98,54.0,0.9853,37.48,0.6171,0.3159,altai,sowing
M_1077,MTZ82,101.1,2018,7.37,107.7,113.9,1,двигатель,1,188998.96,1.9,1.0,34.81,0.9387,0.588,central_chernozem,harvest
M_1078,MTZ82,127.2,2023,2.65,745.2,792.4,1,электроника,0,13697.76,16.6,0.7968,50.71,0.7077,0.455,amur,harvest
M_1079,MTZ82,117.4,2017,8.59,1366.9,1579.0,1,трансмиссия,1,75414.32,221.9,1.0,63.47,0.5315,0.3456,kuban,harvest
M_1080,MTZ82,57.3,2024,1.86,512.1,650.5,0,прочее,0,0.0,0.0,0.6281,34.02,0.7273,0.6212,northwest,harvest
M_1081,MTZ82,83.9,2021,4.75,1437.8,1663.2,0,прочее,0,0.0,0.0,0.7475,46.34,0.4677,0.5703,altai,harvest
M_1082,MTZ82,99.2,2022,3.97,712.6,782.7,1,электроника,0,31768.96,14.3,0.8798,35.83,0.1408,0.6921,central_chernozem,sowing
M_1083,MTZ82,105.6,2018,7.08,1012.1,1161.0,1,трансмиссия,1,87811.29,206.3,0.9128,35.18,0.6917,0.3184,amur,sowing
M_1084,MTZ82,96.6,2022,3.89,958.6,1146.4,1,гидравлика,0,31827.72,29.5,0.7511,62.73,0.5594,0.0706,vladimir,harvest
M_1085,MTZ82,85.3,2020,5.91,235.4,270.8,1,трансмиссия,0,182628.32,30.7,0.8626,32.39,0.1374,0.3297,amur,sowing
M_1086,MTZ82,87.9,2021,4.21,60.6,71.2,1,электроника,0,24659.88,8.1,0.9162,51.16,0.8369,0.4752,vladimir,harvest
M_1087,MTZ82,73.7,2023,2.12,560.5,742.2,0,прочее,0,0.0,0.0,0.5238,45.3,0.7417,0.7665,northwest,harvest
M_1088,MTZ82,110.6,2024,1.03,268.5,362.1,0,прочее,0,0.0,0.0,0.3981,51.15,0.8984,0.6721,vladimir,harvest
M_1089,MTZ82,86.5,2018,7.89,16.5,19.1,1,электроника,0,24761.67,42.7,0.9406,42.41,0.8302,0.6911,altai,sowing
M_1090,MTZ82,85.0,2022,3.13,973.1,1094.9,0,прочее,0,0.0,0.0,0.7064,75.06,0.4692,0.282,kuban,sowing
M_1091,MTZ82,50.0,2018,7.81,2387.1,2732.8,0,прочее,0,0.0,0.0,1.0,45.1,0.6143,0.1098,kuban,sowing
M_1092,MTZ82,100.1,2019,6.96,1820.8,2435.4,0,прочее,0,0.0,0.0,0.734,43.05,0.8857,0.7036,northwest,harvest
M_1093,MTZ82,97.8,2023,2.51,421.2,449.2,1,гидравлика,0,75140.14,22.9,0.5147,51.7,0.4035,0.4306,north_caucasus,harvest
M_1094,MTZ82,57.7,2018,7.16,415.1,449.1,1,двигатель,1,138796.71,37.8,1.0,26.24,0.2427,0.5082,vladimir,sowing
M_1095,MTZ82,79.4,2018,7.93,666.5,726.9,1,гидравлика,0,44874.27,14.9,0.8777,20.0,0.7773,0.0165,amur,sowing
M_1096,MTZ82,102.8,2022,3.8,31.9,34.1,1,трансмиссия,1,122272.65,84.0,0.7641,45.27,0.5411,0.1813,altai,harvest
M_1097,MTZ82,89.4,2017,8.06,316.1,364.5,1,трансмиссия,1,93842.52,27.8,1.0,29.55,0.5953,0.8538,altai,sowing
M_1098,MTZ82,74.5,2023,2.73,778.4,956.5,0,прочее,0,0.0,0.0,0.6122,54.53,0.9399,0.2919,north_caucasus,sowing
M_1099,MTZ82,87.1,2021,4.57,1262.0,1601.1,0,прочее,0,0.0,0.0,0.6791,37.64,0.354,0.455,amur,harvest
M_1100,MTZ82,106.2,2019,6.9,744.2,793.1,1,трансмиссия,1,111436.57,22.5,0.9919,45.7,0.7358,0.1072,northwest,sowing
M_1101,MTZ82,81.1,2017,8.53,1062.8,1185.8,1,гидравлика,0,76426.97,37.4,1.0,36.74,0.251,0.0835,northwest,sowing
M_1102,MTZ82,50.0,2019,6.11,1579.3,1796.1,1,гидравлика,0,52719.83,17.1,0.9124,54.89,0.8908,0.7581,altai,harvest
M_1103,MTZ82,72.0,2019,6.99,1970.8,2379.3,1,электроника,1,27573.95,83.9,0.8691,52.77,0.5081,0.5144,kuban,harvest
M_1104,MTZ82,97.9,2018,7.79,802.7,926.5,1,трансмиссия,1,48100.57,93.6,0.8882,55.44,0.733,0.2488,central_chernozem,sowing
M_1105,MTZ82,126.2,2022,3.4,844.5,1190.8,0,прочее,0,0.0,0.0,0.9254,41.35,0.6106,0.3871,volga,sowing
M_1106,MTZ82,67.3,2021,4.8,1251.2,1680.1,0,прочее,0,0.0,0.0,0.569,55.37,0.7026,0.4447,kuban,sowing
M_1107,MTZ82,92.9,2024,1.1,126.1,133.4,1,гидравлика,0,44825.94,17.6,0.5565,64.91,0.0236,0.0897,north_caucasus,harvest
M_1108,MTZ82,107.3,2019,6.86,1386.4,1594.3,1,трансмиссия,0,48718.73,16.1,1.0,73.6,0.3906,0.5456,kuban,harvest
M_1109,MTZ82,71.8,2019,6.39,810.4,887.6,1,гидравлика,1,41560.52,6.7,0.8025,35.29,0.7822,0.2787,north_caucasus,sowing
M_1110,MTZ82,94.8,2024,1.38,377.8,482.6,0,прочее,0,0.0,0.0,0.6127,60.8,0.9081,0.0395,kuban,harvest
M_1111,MTZ82,78.8,2021,4.15,685.0,770.5,1,электроника,0,23006.72,32.5,0.7661,51.09,0.8428,0.3869,north_caucasus,sowing
M_1112,MTZ82,81.0,2017,8.85,536.0,652.1,1,электроника,0,29581.7,1.7,1.0,42.73,0.4054,0.1341,amur,sowing
M_1113,MTZ82,101.6,2024,1.73,540.1,604.0,0,прочее,0,0.0,0.0,0.6971,37.69,0.2805,0.292,vladimir,sowing
M_1114,MTZ82,82.1,2022,3.41,998.1,1193.9,0,прочее,0,0.0,0.0,0.7348,39.3,0.5638,0.4612,central_chernozem,sowing
M_1115,MTZ82,92.0,2023,2.71,758.0,948.7,0,прочее,0,0.0,0.0,0.5831,74.61,0.7946,0.6038,kuban,sowing
M_1116,MTZ82,97.6,2023,2.3,663.0,806.0,0,прочее,0,0.0,0.0,0.6474,40.25,0.8995,0.4863,northwest,sowing
M_1117,MTZ82,91.1,2021,4.03,1012.4,1410.1,0,прочее,0,0.0,0.0,0.5575,42.52,0.52,0.2787,kuban,sowing
M_1118,MTZ82,92.6,2018,7.75,251.7,273.3,1,электроника,0,38450.39,9.5,1.0,27.31,0.8227,0.2118,amur,sowing
M_1119,MTZ82,94.0,2021,4.59,924.0,991.5,1,гидравлика,0,63013.28,7.9,0.8607,51.22,0.7431,0.4161,north_caucasus,sowing
M_1120,MTZ82,82.4,2017,8.76,149.4,181.9,1,гидравлика,0,63945.16,3.1,1.0,53.52,0.7145,0.8653,vladimir,harvest
M_1121,MTZ82,104.6,2022,3.07,78.3,83.8,1,электроника,1,20738.86,78.2,0.6485,38.66,0.6887,0.4387,northwest,sowing
M_1122,MTZ82,73.0,2022,3.52,954.5,1152.1,1,электроника,0,39475.84,4.1,0.6096,63.66,0.6028,0.9277,kuban,harvest
M_1123,MTZ82,71.4,2022,3.37,918.0,1181.2,0,прочее,0,0.0,0.0,0.6069,48.06,0.8169,0.3127,north_caucasus,sowing
M_1124,MTZ82,80.9,2020,5.18,1423.5,1811.5,0,прочее,0,0.0,0.0,0.8722,54.59,0.9107,0.5556,vladimir,harvest
M_1125,MTZ82,74.6,2019,6.03,183.1,196.8,1,электроника,0,19104.89,35.7,0.8802,46.21,0.6775,0.1034,volga,sowing
M_1126,MTZ82,114.6,2022,3.34,529.0,625.2,1,гидравлика,0,67876.25,5.3,0.6825,46.79,0.3406,0.1647,kuban,sowing
M_1127,MTZ82,101.0,2020,5.79,1573.2,2024.9,0,прочее,0,0.0,0.0,0.6616,48.82,0.7888,0.5531,volga,sowing
M_1128,MTZ82,92.5,2024,1.64,425.1,574.8,0,прочее,0,0.0,0.0,0.3276,44.63,0.6175,0.4094,north_caucasus,harvest
M_1129,MTZ82,58.4,2020,5.54,1640.2,1939.7,0,прочее,0,0.0,0.0,0.8598,47.57,0.8788,0.5414,vladimir,sowing
M_1130,MTZ82,97.4,2020,5.39,741.4,847.2,1,гидравлика,0,112531.6,9.6,0.8183,48.84,0.5191,0.5749,vladimir,harvest
M_1131,MTZ82,90.2,2022,3.44,1054.0,1205.3,0,прочее,0,0.0,0.0,0.4982,61.86,0.9604,0.4145,north_caucasus,harvest
M_1132,MTZ82,111.0,2024,1.36,404.9,475.7,0,прочее,0,0.0,0.0,0.7233,32.24,0.7847,0.5764,amur,sowing
M_1133,MTZ82,94.0,2018,7.02,1438.0,1627.8,1,гидравлика,1,34605.55,69.7,0.8505,50.17,0.9332,0.3146,altai,sowing
M_1134,MTZ82,87.7,2023,2.58,111.7,122.9,1,гидравлика,0,58665.21,32.0,0.8417,39.41,0.7135,0.0992,volga,sowing
M_1135,MTZ82,104.1,2017,8.98,594.6,681.7,1,гидравлика,0,69387.81,11.7,0.9573,37.71,0.4978,0.7171,amur,harvest
M_1136,MTZ82,50.0,2020,5.22,1495.1,1826.7,0,прочее,0,0.0,0.0,0.7292,37.97,0.8885,0.8609,north_caucasus,sowing
M_1137,MTZ82,81.3,2022,3.95,1069.9,1381.1,0,прочее,0,0.0,0.0,0.7643,46.62,0.6961,0.6341,vladimir,harvest
M_1138,MTZ82,70.3,2020,5.87,1817.3,2054.2,0,прочее,0,0.0,0.0,0.8821,51.32,0.3094,0.2591,vladimir,harvest
M_1139,MTZ82,81.9,2022,3.22,69.5,79.0,1,электроника,1,41769.7,46.2,0.766,49.22,0.946,0.3627,amur,harvest
M_1140,MTZ82,80.8,2019,6.01,99.3,106.2,1,электроника,0,45840.9,5.0,0.8371,47.04,0.1343,0.6786,vladimir,harvest
M_1141,MTZ82,90.0,2022,3.72,994.0,1301.2,0,прочее,0,0.0,0.0,0.8342,46.98,0.9946,0.5991,vladimir,sowing
M_1142,MTZ82,114.4,2024,1.25,317.4,361.7,1,гидравлика,0,146275.45,19.5,0.7281,47.04,0.4965,0.4562,altai,harvest
M_1143,MTZ82,100.9,2024,1.98,187.7,231.3,1,электроника,0,13332.9,137.2,0.6419,39.94,0.7119,0.5084,altai,sowing
M_1144,MTZ82,102.6,2021,4.25,931.3,1034.6,1,гидравлика,0,21004.6,9.4,0.8518,51.39,0.2341,0.5439,kuban,sowing
M_1145,MTZ82,118.7,2023,2.58,110.7,118.8,1,гидравлика,0,72601.11,33.4,0.8705,60.21,0.7547,0.0324,vladimir,harvest
M_1146,MTZ82,70.7,2021,4.43,184.3,222.1,1,прочее,0,8949.87,52.8,0.8943,48.8,0.5096,0.5677,altai,harvest
M_1147,MTZ82,114.8,2021,4.62,535.6,656.5,1,гидравлика,0,49315.16,13.3,0.8738,45.04,0.408,0.159,amur,sowing
M_1148,MTZ82,76.4,2021,4.78,828.9,898.4,1,электроника,0,29176.25,49.5,0.7962,44.02,0.4813,0.2235,altai,harvest
M_1149,MTZ82,112.8,2017,8.01,2181.9,2802.1,0,прочее,0,0.0,0.0,1.0,42.07,0.887,0.4359,vladimir,harvest
M_1150,MTZ82,137.9,2019,6.14,1308.5,1593.9,1,электроника,0,31835.93,40.0,0.8787,48.39,0.5906,0.5921,volga,harvest
M_1151,MTZ82,84.6,2021,4.15,1177.3,1451.7,0,прочее,0,0.0,0.0,0.769,41.28,0.6482,0.4537,volga,sowing
M_1152,MTZ82,109.9,2018,7.12,1459.7,1762.9,1,трансмиссия,1,77983.76,49.3,0.9349,31.83,0.9475,0.2428,amur,sowing
M_1153,MTZ82,67.8,2024,1.8,61.9,71.4,1,гидравлика,0,100889.83,3.5,0.6974,58.2,0.0827,0.757,volga,harvest
M_1154,MTZ82,93.5,2024,1.83,536.0,639.3,0,прочее,0,0.0,0.0,0.7747,57.53,0.1949,0.703,north_caucasus,harvest
M_1155,MTZ82,85.3,2019,6.44,571.7,706.5,1,электроника,0,51454.72,10.2,1.0,51.1,0.1367,0.2459,central_chernozem,harvest
M_1156,MTZ82,102.8,2021,4.48,364.2,450.6,1,трансмиссия,1,110565.68,33.4,0.8511,33.81,0.6861,0.064,vladimir,harvest
M_1157,MTZ82,142.7,2022,3.16,242.1,279.9,1,трансмиссия,1,81011.7,228.5,0.8453,63.79,0.3272,0.4622,kuban,sowing
M_1158,MTZ82,112.0,2019,6.29,829.2,943.6,1,электроника,0,21846.31,9.4,1.0,44.35,0.4306,0.1191,north_caucasus,sowing
M_1159,MTZ82,81.6,2022,3.2,819.4,1118.8,0,прочее,0,0.0,0.0,0.6568,55.74,0.9538,0.5533,north_caucasus,sowing
M_1160,MTZ82,128.5,2017,8.85,11.8,14.5,1,двигатель,1,107591.53,195.0,0.9965,65.51,0.4884,0.4652,central_chernozem,harvest
M_1161,MTZ82,78.6,2019,6.64,399.1,459.6,1,гидравлика,0,31997.36,23.2,0.8546,47.45,0.8155,0.6627,northwest,sowing
M_1162,MTZ82,120.6,2023,2.66,435.5,500.1,1,электроника,0,29971.24,65.6,0.7353,31.91,0.9221,0.2752,altai,sowing
M_1163,MTZ82,100.2,2023,2.23,100.3,114.3,1,гидравлика,0,29698.43,32.6,0.6914,52.87,0.7707,0.1938,north_caucasus,sowing
M_1164,MTZ82,79.3,2023,2.47,765.0,863.3,0,прочее,0,0.0,0.0,0.6241,37.16,0.399,0.0191,vladimir,harvest
M_1165,MTZ82,69.6,2024,1.53,392.2,535.8,0,прочее,0,0.0,0.0,0.6923,55.34,0.3677,0.2702,north_caucasus,harvest
M_1166,MTZ82,111.1,2024,1.78,530.4,624.6,0,прочее,0,0.0,0.0,0.5886,41.79,0.2832,0.3432,volga,sowing
M_1167,MTZ82,104.5,2022,3.23,864.8,1130.1,0,прочее,0,0.0,0.0,0.8597,44.63,0.3143,0.2187,central_chernozem,sowing
M_1168,MTZ82,96.1,2021,4.02,1050.7,1408.4,0,прочее,0,0.0,0.0,0.7064,55.05,0.7166,0.4095,north_caucasus,harvest
M_1169,MTZ82,63.1,2019,7.0,487.3,519.7,1,гидравлика,0,58254.62,6.1,0.8338,33.03,0.7839,0.175,amur,sowing
M_1170,MTZ82,80.3,2022,3.99,1182.3,1397.0,0,прочее,0,0.0,0.0,0.6788,42.33,0.4859,0.7861,volga,sowing
M_1171,MTZ82,104.8,2022,3.14,418.5,456.3,1,электроника,1,19702.05,16.9,0.9736,49.15,0.3452,0.7839,amur,harvest
M_1172,MTZ82,88.0,2018,7.09,1060.2,1182.0,1,электроника,0,38963.26,1.4,1.0,51.14,0.8328,0.7786,central_chernozem,sowing
M_1173,MTZ82,118.5,2022,3.65,1032.7,1277.5,0,прочее,0,0.0,0.0,0.8877,32.39,0.5498,0.343,northwest,sowing
M_1174,MTZ82,84.2,2024,1.45,374.0,509.1,0,прочее,0,0.0,0.0,0.6141,50.99,0.9586,0.6441,central_chernozem,harvest
M_1175,MTZ82,111.0,2022,3.83,957.4,1340.8,0,прочее,0,0.0,0.0,0.7424,29.98,0.8876,0.7104,amur,sowing
M_1176,MTZ82,126.5,2023,2.51,15.9,17.7,1,гидравлика,1,134603.82,0.2,0.6136,65.23,0.3072,0.3115,north_caucasus,harvest
M_1177,MTZ82,95.7,2018,7.91,1346.6,1674.9,1,двигатель,1,107317.81,67.5,1.0,50.51,0.5647,0.4873,north_caucasus,harvest
M_1178,MTZ82,77.5,2024,1.03,277.4,360.1,0,прочее,0,0.0,0.0,0.53,64.8,0.4367,0.4222,north_caucasus,harvest
M_1179,MTZ82,125.5,2018,7.08,202.6,224.7,1,электроника,0,35566.98,9.7,1.0,46.18,0.1639,0.1621,central_chernozem,sowing
M_1180,MTZ82,77.6,2020,5.5,1562.7,1926.3,0,прочее,0,0.0,0.0,0.7518,43.81,0.9525,0.4071,northwest,sowing
M_1181,MTZ82,75.8,2024,1.81,453.9,634.0,0,прочее,0,0.0,0.0,0.6803,54.71,0.8908,0.4709,north_caucasus,harvest
M_1182,MTZ82,85.9,2020,5.76,354.4,384.0,1,гидравлика,0,99766.56,1.5,0.9753,47.05,0.8354,0.5924,north_caucasus,sowing
M_1183,MTZ82,63.7,2022,3.82,725.1,830.5,1,электроника,0,46343.36,1.3,0.8428,55.68,0.2642,0.1882,volga,harvest
